id,compound,formula
LMFA01020207,16-methyl-6Z_9Z-heptadecadienoic acid,C18H32O2
LMFA01020208,16-methyl-9Z_12Z-heptadecadienoic acid,C18H32O2
LMFA01020209,16-methyl-6Z_9Z_12Z-heptadecatrienoic acid,C18H30O2
LMFA01020210,11-methyl-octadecanoic acid,C19H38O2
LMFA01020211,12-methyl-octadecanoic acid,C19H38O2
LMFA01020212,13-methyl-octadecanoic acid,C19H38O2
LMFA01020213,14-methyl-octadecanoic acid,C19H38O2
LMFA01020214,3-methyl-octadecanoic acid,C19H38O2
LMFA01020215,4-methyl-octadecanoic acid,C19H38O2
LMFA01020216,5-methyl-octadecanoic acid,C19H38O2
LMFA01020217,7-methyl-octadecanoic acid,C19H38O2
LMFA01020218,8-methyl-octadecanoic acid,C19H38O2
LMFA01020219,9-methyl-octadecanoic acid,C19H38O2
LMFA01020220,17-methyl-nonadecanoic acid,C20H40O2
LMFA01020221,18-methyl-8Z_11Z_14Z-nonadecatrienoic acid,C20H34O2
LMFA01020222,18-methyl-5Z_8Z_11Z_14Z-nonadecatetraenoic acid,C20H32O2
LMFA01020223,19-methyl-eicosanoic acid,C21H42O2
LMFA01020224,19-methyl-5E_9E-eicosadienoic acid,C21H38O2
LMFA01020225,18-methyl-5Z_9Z-eicosadienoic acid,C21H38O2
LMFA01020226,19-methyl-5Z_9Z-eicosadienoic acid,C21H38O2
LMFA01020227,19-methyl-heneicosanoic acid,C22H44O2
LMFA01020228,3-methyl-heneicosanoic acid,C22H44O2
LMFA01020229,2_4-dimethyl-docosanoic acid,C24H48O2
LMFA01020230,21-methyl-docosanoic acid,C23H46O2
LMFA01020231,3_15-dimethyl-docosanoic acid,C24H48O2
LMFA01020232,21-methyl-tricosanoic acid,C24H48O2
LMFA01020233,23-methyl-5Z_9Z-tetracosadienoic acid,C25H46O2
LMFA01020234,9_10-dimethyl-octacosanoic acid,C30H60O2
LMFA01020242,6-methyl-heptanoic acid,C8H16O2
LMFA01020243,3-methyl-octanoic acid,C9H18O2
LMFA01020244,4-methyl-octanoic acid,C9H18O2
LMFA01020245,5-methyl-octanoic acid,C9H18O2
LMFA01020246,7-methyl-nonanoic acid,C10H20O2
LMFA01020247,8-methyl-nonanoic acid,C10H20O2
LMFA01020248,3_7_11-trimethyl-dodecanoic acid,C15H30O2
LMFA01020249,4_8_12-trimethyl-tridecanoic acid,C16H32O2
LMFA01020250,2_6_10_14-tetramethyl-pentadecanoic acid,C19H38O2
LMFA01020252,3_7_11_15-tetramethyl-2-hexadecenoic acid,C20H38O2
LMFA01020253,7_7-dimethyl-5Z_8Z-eicosadienoic acid,C22H40O2
LMFA01020254,7_7-dimethyl-5Z_8Z_11Z-eicosatrienoic acid,C22H38O2
LMFA01020255,10_10-dimethyl-5Z_8Z_11Z-eicosatrienoic acid,C22H38O2
LMFA01020256,2_4-dimethyl-2-pentacosenoic acid,C27H52O2
LMFA01020261,5R-methyl-decanoic acid,C11H22O2
LMFA01020262,2R-methyl-dodecanoic acid,C13H26O2
LMFA01020263,10-methylene-octadecanoic acid,C19H36O2
LMFA01020264,2-methyl-2-hexacosenoic acid,C27H52O2
LMFA01020265,4R-methyl-hexadecanoic acid,C17H34O2
LMFA01020266,10-methyl-9-hexadecenoic acid,C17H32O2
LMFA01020267,14R-methyl-8Z-hexadecenoic acid,C17H32O2
LMFA01020268,14S-methyl-8Z-hexadecenoic acid,C17H32O2
LMFA01020269,l-(+)-10-methyl-octadecanoic acid,C19H38O2
LMFA01020270,d-6-methyl-octanoic acid,C9H18O2
LMFA01020271,(+)-23-methyl-tetracosanoic acid,C41H82O2
LMFA01020272,2_4_6_8-tetramethyl-decanoic acid,C14H28O2
LMFA01020273,2_4_6_8-tetramethyl-tetratriacontanoic acid,C38H76O2
LMFA01020274,3-methyl-2-oxo-butanoic acid,C5H8O3
LMFA01020275,3S-methyl-2-oxo-pentanoic acid,C6H10O3
LMFA01020276,3-oxo-4-methyl-pentanoic acid,C6H10O3
LMFA01020277,3-hydroxy-3-methyl-2-oxo-butanoic acid,C5H8O4
LMFA01020278,3-hydroxy-3-methyl-2-oxo-pentanoic acid,C6H10O4
LMFA01020279,10_11-epoxy-3_7_11-trimethyl-2E_6E-tridecadienoic acid,C16H26O3
LMFA01020280,2oxo-3R-methyl-pentanoic acid,C6H10O3
LMFA01020281,9_14-dimethylpentadecanoic acid,C17H34O2
LMFA01020282,2R_4R_6R_8R-tetramethyloctacosanoic acid,C32H64O2
LMFA01020283,3R-Methylheptanoic acid,C8H16O2
LMFA01020284,3R-Methylheptanoic acid,C8H16O2
LMFA01020285,2_6_10-trimethyl-undecanoic acid,C14H28O2
LMFA01020286,4_8_12_16-tetramethyl-heptadecanoic acid,C21H42O2
LMFA01020287,3S_7R_11R_15-tetramethyl-hexadecanoic acid,C20H40O2
LMFA01020288,4_8-dimethyl-nonanoic acid,C11H22O2
LMFA01020289,13_13-dimethyl-tetradecanoic acid,C16H32O2
LMFA01020290,7_9_13_17-tetramethyl-7S_14S-dihydroxy-2E_4E_8E_10E_12E_16-octadecahexaenoic acid,C22H32O4
LMFA01020291,2-propylpentanoic acid,C8H16O2
